iter	Passed	Remaining
880	67857	86189
881	67926	86102
882	67992	86011
883	68088	85957
884	68174	85891
885	68266	85833
886	68334	85745
887	68398	85652
888	68490	85593
889	68555	85502
890	68625	85415
891	68699	85334
892	68769	85249
893	68845	85171
894	68907	85076
895	68993	85009
896	69062	84923
897	69145	84852
898	69211	84763
899	69279	84675
900	69341	84579
901	69406	84487
902	69481	84408
903	69541	84310
904	69638	84258
905	69705	84169
906	69782	84092
907	69848	84002
908	69937	83939
909	70003	83850
910	70091	83786
911	70156	83695
912	70218	83601
913	70284	83510
914	70360	83433
915	70425	83342
916	70514	83279
917	70591	83202
918	70659	83115
919	70753	83058
920	70848	83002
921	70942	82945
922	71010	82858
923	71081	82774
924	71154	82692
925	71219	82601
926	71305	82536
927	71376	82451
928	71447	82368
929	71536	82305
930	71624	82241
931	71720	82185
932	71780	82089
933	71875	82033
934	71948	81951
935	72032	81883
936	72109	81806
937	72173	81715
938	72239	81625
939	72303	81534
940	72381	81457
941	72445	81366
942	72521	81288
943	72588	81200
944	72666	81124
945	72735	81039
946	72803	80953
947	72884	80880
948	72979	80823
949	73081	80774
950	73145	80683
951	73213	80596
952	73293	80522
953	73392	80470
954	73477	80402
955	73549	80320
956	73625	80241
957	73687	80148
958	73755	80061
959	73817	79969
960	73882	79879
961	73947	79789
962	74025	79714
963	74090	79624
964	74158	79538
965	74245	79471
966	74329	79402
967	74392	79311
968	74456	79220
969	74540	79150
970	74620	79077
971	74716	79021
972	74791	78942
973	74877	78874
974	74950	78793
975	75035	78726
976	75109	78645
977	75192	78575
978	75270	78499
979	75351	78427
980	75425	78347
981	75492	78260
982	75575	78189
983	75657	78117
984	75732	78039
985	75800	77953
986	75877	77876
987	75964	77810
988	76036	77727
989	76117	77655
990	76188	77572
991	76262	77492
992	76330	77406
993	76405	77328
994	76463	77232
995	76539	77154
996	76603	77064
997	76701	77009
998	76763	76916
999	76841	76841
1000	76912	76758
1001	76999	76691
1002	77061	76600
1003	77123	76509
1004	77182	76414
1005	77263	76341
1006	77328	76253
1007	77415	76187
1008	77503	76120
1009	77573	76036
1010	77645	75955
1011	77713	75870
1012	77781	75785
1013	77863	75713
1014	77929	75625
1015	78005	75548
1016	78077	75466
1017	78140	75376
1018	78228	75311
1019	78304	75233
1020	78374	75150
1021	78456	75079
1022	78545	75013
1023	78638	74952
1024	78714	74874
1025	78776	74783
1026	78840	74695
1027	78921	74622
1028	78998	74545
1029	79073	74467
1030	79175	74413
1031	79242	74328
1032	79345	74275
1033	79434	74210
1034	79518	74140
1035	79600	74068
1036	79694	74007
1037	79788	73946
1038	79878	73882
1039	79957	73806
1040	80046	73741
1041	80137	73676
1042	80228	73612
1043	80333	73562
1044	80452	73523
1045	80549	73464
1046	80661	73419
1047	80750	73353
1048	80830	73278
1049	80905	73200
1050	80984	73124
1051	81060	73047
1052	81171	73000
1053	81248	72923
1054	81325	72845
1055	81397	72764
1056	81477	72690
1057	81569	72626
1058	81647	72549
1059	81716	72465
1060	81779	72375
1061	81848	72292
1062	81925	72214
1063	82049	72178
1064	82123	72098
1065	82210	72030
1066	82304	71967
1067	82398	71905
1068	82519	71866
1069	82616	71807
1070	82696	71732
1071	82793	71671
1072	82883	71606
1073	82981	71546
1074	83073	71481
1075	83160	71413
1076	83268	71362
1077	83354	71291
1078	83450	71230
1079	83534	71159
1080	83644	71109
1081	83757	71062
1082	83857	71003
1083	83959	70947
1084	84071	70898
1085	84178	70846
1086	84286	70794
1087	84374	70725
1088	84472	70665
1089	84563	70598
1090	84663	70539
1091	84742	70463
1092	84833	70397
1093	84945	70347
1094	85053	70295
1095	85137	70223
1096	85212	70142
1097	85298	70072
1098	85380	69998
1099	85481	69939
1100	85555	69859
1101	85642	69788
1102	85739	69726
1103	85817	69648
1104	85929	69598
1105	86129	69620
1106	86277	69598
1107	86378	69539
1108	86463	69467
1109	86544	69391
1110	86629	69319
1111	86703	69237
1112	86805	69178
1113	86889	69105
1114	87015	69065
1115	87100	68993
1116	87180	68917
1117	87282	68858
1118	87366	68784
1119	87453	68713
1120	87548	68648
1121	87657	68594
1122	87777	68549
1123	87850	68467
1124	87938	68396
1125	88016	68318
1126	88115	68256
1127	88181	68168
1128	88252	68084
1129	88360	68029
1130	88454	67964
1131	88532	67885
1132	88669	67851
1133	88748	67774
1134	88846	67710
1135	88923	67631
1136	88996	67549
1137	89080	67475
1138	89161	67399
1139	89247	67327
1140	89320	67244
1141	89406	67172
1142	89498	67104
1143	89565	67017
1144	89642	66937
1145	89719	66859
1146	89786	66772
1147	89854	66686
1148	89924	66601
1149	89999	66521
1150	90070	66438
1151	90144	66356
1152	90229	66283
1153	90296	66196
1154	90401	66137
1155	90499	66073
1156	90571	65991
1157	90660	65920
1158	90729	65835
1159	90797	65750
1160	90871	65668
1161	90972	65606
1162	91057	65532
1163	91136	65455
1164	91215	65377
1165	91341	65333
1166	91422	65257
1167	91500	65178
1168	91602	65116
1169	91703	65054
1170	91779	64974
1171	91851	64891
1172	91960	64834
1173	92039	64756
1174	92167	64713
1175	92240	64631
1176	92330	64560
1177	92393	64471
1178	92466	64389
1179	92556	64318
1180	92639	64243
1181	92725	64170
1182	92825	64107
1183	92917	64037
1184	92996	63959
1185	93072	63879
1186	93144	63796
1187	93244	63732
1188	93341	63666
1189	93409	63581
1190	93496	63508
1191	93565	63423
1192	93634	63338
1193	93708	63256
1194	93777	63172
1195	93848	63088
1196	93918	63004
1197	94006	62932
1198	94073	62846
1199	94155	62770
1200	94219	62682
1201	94306	62609
1202	94371	62522
1203	94446	62441
1204	94530	62366
1205	94600	62282
1206	94666	62196
1207	94732	62109
1208	94794	62020
1209	94876	61943
1210	94946	61860
1211	95012	61773
1212	95081	61689
1213	95156	61608
1214	95227	61525
1215	95288	61436
1216	95351	61347
1217	95412	61258
1218	95504	61188
1219	95621	61134
1220	95736	61079
1221	95818	61004
1222	95891	60922
1223	95994	60859
1224	96093	60793
1225	96200	60733
1226	96288	60661
1227	96356	60576
1228	96458	60512
1229	96577	60459
1230	96659	60382
1231	96845	60370
1232	96983	60329
1233	97087	60266
1234	97167	60188
1235	97253	60114
1236	97339	60040
1237	97414	59959
1238	97493	59880
